"HDR","FEC","8.0","FECfile","8.0.1.5(f29)","",""
"F3XN","C00489385","ALASKANS STANDING TOGETHER","","PO BOX 243454","","ANCHORAGE","AK","99524","YE","","","","20110701","20111231","","Donatelli","Barbara","","","","20120131","24459.43","0.00","24459.43","1957.14","22502.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1957.14","1957.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1957.14","1957.14","0.00","0.00","0.00","1957.14","0.00","1957.14","54379.70","2011","8337.40","62717.10","40214.81","22502.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8337.40","0.00","0.00","0.00","0.00","0.00","8337.40","8337.40","0.00","0.00","10214.81","10214.81","0.00","0.00","0.00","0.00","0.00","0.00","30000.00","0.00","0.00","30000.00","0.00","0.00","0.00","0.00","0.00","40214.81","40214.81","0.00","30000.00","-30000.00","10214.81","8337.40","1877.41"
"SB21B","C00489385","SB21B.4324","","","ORG","MSI Communications, Inc.","","","","","","3501 Denali Street, Ste. 202","","Anchorage","AK","99503","","","20111018","75.00","","Domain name renewal","001","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00489385","SB21B.4326","","","ORG","Van Ness Feldman","","","","","","1050 Thomas Jefferson Street, NW","","Washington","DC","200073877","","","20111026","344.64","","Professional Services","001","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00489385","SB21B.4328","","","ORG","Van Ness Feldman","","","","","","1050 Thomas Jefferson Street, NW","","Washington","DC","200073877","","","20111207","1537.50","","Professional Services","001","","","","","","","","","","","","","","","","","","","",""
